,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,normalized (MAE),normalized (MSE),R^2,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,18.44,13.078470858628695,36.6,38.0,"0    0.779308
dtype: float64","0    0.8154
dtype: float64",0.8004773498592903,0.934043432748597,0.09008452331583955,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],[],"[37. 37.  3. 36. 20. 35. 38. 36. 35.  8. 21.  9. 21. 17. 14. 19.  5. 11.
 30. 11.  1.  7.  7.  2.  1.]"
1,12.16,6.404248589803491,20.60000000000001,27.0,"0    0.767549
dtype: float64","0    0.850999
dtype: float64",0.7170908334738718,0.8137350191752608,0.18860048872314883,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],[],"[27. 14. 15.  7. 15.  7. 23. 12. 17. 16.  2. 12.  6.  9.  5.  5. 12. 14.
  5. 27. 16.  8. 10. 11.  9.]"
2,11.0,13.093509842666327,31.200000000000017,50.0,"0    0.873111
dtype: float64","0    0.901648
dtype: float64",0.7255630934721929,0.8086129884334038,0.19990849409393932,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],[],"[14.  3. 23.  5.  2.  1.  7. 40.  3.  2.  6.  4.  1.  3.  2. 36.  4.  1.
  6. 13.  5. 50. 10. 24. 10.]"
4,5.88,4.393813833106724,10.400000000000006,18.0,"0    0.879384
dtype: float64","0    0.905115
dtype: float64",0.5867371737134017,0.5608460234623152,0.4369403129274246,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],[],"[17.  2.  2. 12.  2. 18.  3.  1.  4.  8.  4.  2.  8.  5.  7.  6.  2.  7.
  2.  5.  2.  8.  4.  8.  8.]"
5,11.16,7.0465878267428135,17.0,38.0,"0    0.89335
dtype: float64","0    0.932716
dtype: float64",0.7437663125571639,0.8341527788283425,0.1646213546075411,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 8.  4.  7. 17. 11. 11. 10.  6.  8.  3.  3. 10.  6. 38.  9. 14. 20. 11.
 17. 16. 14.  5.  8. 10. 13.]"
6,9.92,5.298452604298731,17.400000000000006,21.0,"0    0.909234
dtype: float64","0    0.933409
dtype: float64",0.6815388383642491,0.73095702046692,0.2671193366535075,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 7.  7. 19. 13.  5.  3.  7.  8. 14.  2.  4. 14. 12. 20. 21.  8. 10.  8.
  9.  3.  3. 13. 10. 13. 15.]"
7,8.96,6.32759037865126,12.200000000000003,32.0,"0    0.92626
dtype: float64","0    0.962603
dtype: float64",0.6758168753238699,0.7314169562582507,0.2672361723737836,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 9.  8.  6.  8.  5. 10. 11.  5.  4. 11. 11. 13.  7.  7.  8.  5.  4.  4.
 10.  2. 24. 32.  5.  9.  6.]"
8,7.24,5.39837012439866,15.20000000000001,22.0,"0    0.927557
dtype: float64","0    0.947711
dtype: float64",0.5681449637948862,0.5215082446222543,0.48193842014856453,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 6. 22.  5. 10.  7.  7.  8. 20.  4.  5.  7.  4.  3. 11.  5.  6.  9.  1.
  1. 18.  5.  1.  2.  7.  7.]"
9,6.8,5.019960159204453,14.0,17.0,"0    0.835821
dtype: float64","0    0.89152
dtype: float64",0.7723205391365433,0.8760271070419986,0.11488029797667426,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,4,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],[],"[17.  2.  1.  2.  1.  7. 10. 14.  2. 10.  2. 12. 14.  7.  9.  8.  8.  2.
  4.  1. 15.  3.  1.  6. 12.]"
10,12.72,8.392949421985099,20.6,41.0,"0    0.807061
dtype: float64","0    0.846948
dtype: float64",0.7991359005125005,1.0198377888561525,-0.029310721191400955,1,RF with PCA,MLI (explore & exploit),2.0,0,25,4,250,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['28-d Cubic compressive strength (MPa)'],[],"[10.  9. 17.  6.  9. 25. 18.  7. 14. 18. 10. 15.  4.  4.  5. 21.  7.  2.
 19. 20. 14.  9. 41.  9.  5.]"
