,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,normalized (MAE),normalized (MSE),R^2,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,8.6,9.103845341392834,22.400000000000006,37.0,"0    0.818765
dtype: float64","0    0.861728
dtype: float64",0.7516687085245582,0.951730891631172,-0.03581998935316243,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[15. 27.  3.  3.  3.  1.  2.  3.  2. 10. 24.  3.  6.  3. 10.  2.  5.  6.
  4.  1. 20. 12. 37.  4.  9.]"
1,10.2,5.892367945062494,18.6,23.0,"0    0.74963
dtype: float64","0    0.835062
dtype: float64",0.7263240706719815,0.9120665583021244,0.017360511203764882,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[16. 16. 15.  6.  3.  4. 19.  8.  5. 12.  3. 15. 15.  8.  7. 19. 23.  5.
  5.  6. 18.  4.  8.  5. 10.]"
2,11.36,10.818058975620348,28.800000000000004,35.0,"0    0.807407
dtype: float64","0    0.833086
dtype: float64",0.752710943470772,1.0433525505582086,-0.08395620217774379,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[26.  1. 30.  1. 35.  1.  4. 11. 22.  2. 17. 10.  7.  2. 15.  1.  6. 32.
  2. 27.  1. 10.  6.  5. 10.]"
3,6.2,5.607138307550475,13.600000000000001,25.0,"0    0.843457
dtype: float64","0    0.90321
dtype: float64",0.6305814779639535,0.7010931070465832,0.2616489292757747,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[25.  9.  4.  6.  1.  2. 13.  1.  1.  7.  6. 14.  2. 15.  8.  1.  4.  1.
  5.  3.  1.  5.  8.  9.  4.]"
4,5.2,2.95296461204668,8.0,14.0,"0    0.873869
dtype: float64","0    0.957552
dtype: float64",0.7744503588420956,1.003055566175895,-0.15592305187041083,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 2.  1.  3.  3.  2.  5.  9.  4.  3.  4.  8.  7.  7.  8.  4.  3. 14.  2.
  7.  8.  8.  6.  4.  2.  6.]"
5,6.92,4.408355702526737,13.200000000000003,16.0,"0    0.803261
dtype: float64","0    0.857442
dtype: float64",0.8669197434304619,1.2980646302925882,-0.43993784997859564,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[10.  7.  3. 16.  7.  2.  3.  4.  8. 14.  3.  3. 11.  7.  1.  9.  4.  7.
 12.  2.  3. 11. 11.  1. 14.]"
6,9.16,4.896365999391794,15.0,17.0,"0    0.811996
dtype: float64","0    0.885365
dtype: float64",0.7217585826931671,1.8205390487806143,-1.0238941175310123,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[16. 15.  3. 13.  2.  7. 17. 13.  2.  7. 15.  6. 14.  2. 13. 14.  2. 11.
  5. 13.  6.  6.  7.  8. 12.]"
7,9.64,3.5986664196615945,14.0,17.0,"0    0.780477
dtype: float64","0    0.84912
dtype: float64",0.6474764884085237,0.7466145866894834,0.2033566692891952,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[14.  8. 17.  9.  4.  8.  9.  7.  4. 10. 14. 14.  5.  6. 13.  8. 15. 12.
  5. 11. 11.  5. 10. 10. 12.]"
8,4.96,4.694507428900289,11.800000000000004,18.0,"0    0.821728
dtype: float64","0    0.885926
dtype: float64",0.7586634326041417,0.9282222684454353,0.02330039692912605,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 2.  6.  3. 17.  2.  5.  1.  4.  3.  6.  2.  3.  7.  1.  1.  2. 10. 18.
  2.  5.  1.  6.  1.  3. 13.]"
9,6.92,4.620995563728664,13.400000000000006,18.0,"0    0.795062
dtype: float64","0    0.889383
dtype: float64",0.8124106840628529,1.1201307033424577,-0.19936803646345616,1,RF with PCA,MLI (explore & exploit),2.0,0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 9.  4. 11.  5.  3.  1. 18.  4.  5.  4.  5.  9.  9.  7.  9.  4. 10.  2.
  5.  3. 18.  3.  2.  8. 15.]"
