,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,normalized (MAE),normalized (MSE),R^2,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,7.0,3.394112549695428,11.200000000000003,14.0,"0    0.671212
dtype: float64","0    0.803826
dtype: float64",0.6005132643151163,0.6513781364389013,0.32670441458017685,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 3.  3.  9.  7.  7. 10.  4. 13.  3.  3.  6.  2.  5.  8. 10. 10.  2.  9.
  9. 14.  7.  8. 12.  4.  7.]"
1,6.72,5.118749847374845,15.600000000000001,19.0,"0    0.653293
dtype: float64","0    0.845757
dtype: float64",0.7232842203248634,0.939230835518907,0.015334825686669232,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 5.  5.  7. 10.  1. 19.  6.  2.  1.  7.  4.  8. 18.  6.  6.  8.  1.  4.
  1.  2. 16.  5.  7. 15.  4.]"
2,7.16,10.562878395588958,15.20000000000001,53.0,"0    0.773791
dtype: float64","0    0.822494
dtype: float64",0.6085303015207768,0.7214270149366311,0.2879012316162222,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 5.  2.  5.  4.  2.  1.  4.  6.  1. 18.  2.  1. 53.  4.  2. 21.  3.  6.
  2.  9.  4.  3. 11.  2.  8.]"
3,4.52,3.1384072393492852,9.0,13.0,"0    0.819608
dtype: float64","0    0.860249
dtype: float64",0.5479496419748661,0.5395313908457235,0.4489896488811877,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 6.  9.  3.  1.  3.  2.  6.  6.  3.  9.  2. 13.  1.  7. 11.  4.  3.  1.
  4.  3.  5.  3.  3.  4.  1.]"
4,5.24,2.267686045289339,8.0,11.0,"0    0.805585
dtype: float64","0    0.934789
dtype: float64",0.6338611078340985,0.6937416225540018,0.26748540221602274,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 3.  5.  6.  8.  8.  3.  8.  4.  3. 11.  3.  4.  3.  7.  3.  8.  5.  4.
  5.  6.  4.  5.  3.  9.  3.]"
5,7.68,7.556295388614714,21.200000000000003,30.0,"0    0.805786
dtype: float64","0    0.875466
dtype: float64",0.588836905826701,0.6264014070202182,0.3533662849793223,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 4.  6.  7.  7.  3.  4. 25.  5.  2.  4.  3.  8.  5. 30. 20.  2. 22.  4.
  5.  2.  3.  3.  6.  6.  6.]"
6,12.6,11.106754701531857,31.0,32.0,"0    0.787637
dtype: float64","0    0.862716
dtype: float64",0.631743697263613,0.7691924950873735,0.2540266149183823,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 1.  3. 10.  5.  8.  6. 31.  8. 13. 28.  2.  5. 25. 31. 32. 31.  3.  3.
  6.  5.  2.  6. 11. 30. 10.]"
7,2.32,1.4891608375189027,4.0,7.0,"0    0.905356
dtype: float64",1.0,0.5635889105745627,0.5807293641134185,0.4209743620386054,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[2. 2. 1. 2. 3. 7. 4. 1. 5. 2. 2. 4. 4. 1. 1. 2. 3. 1. 1. 1. 1. 3. 1. 2.
 2.]"
10,4.68,3.0818176454813155,8.600000000000001,12.0,"0    0.757196
dtype: float64","0    0.845989
dtype: float64",0.6752238912791912,0.78286614233033,0.17792209380922683,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,4,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 4.  6.  4.  6. 12.  8.  6. 11.  2.  8.  6.  1.  3.  6.  6.  2.  2.  4.
  1.  1.  1.  2.  3.  9.  3.]"
11,7.8,5.169139193328034,15.800000000000004,20.0,"0    0.681186
dtype: float64","0    0.794662
dtype: float64",0.7256380866151341,0.8914242881630642,0.06485943279720335,1,RF with PCA,MLI (explore & exploit),2.0,0,25,4,126,36,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 7. 10.  3.  4. 20.  2.  3.  8.  4.  4. 14. 10.  5. 17.  5.  9.  3.  7.
  9. 10.  1. 19. 12.  6.  3.]"
