Req. dev. cycle (mean) ,Req. dev. cycle (std) ,Req. dev. cycle (90%) ,Req. dev. cycle (max) ,5 cycle perf. ,10 cycle perf. ,normalized (MAE)   ,normalized (MSE)   ,R^2                 ,Batch size ,Algorithm   ,Utlity function         ,σ factor ,qant. (distance utility) ,# SL runs ,Initial sample ,# of samples in the DS ,# Features ,# Targets ,Target threshold ,Features name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Targets name                              ,A-priori information                  ,Req. experiments (list)
                  9.12 ,   6.689215200604627  ,   17.0               ,                 25.0 ,"0.813949"    ,"0.854433"     ,0.6957062521242208 ,0.8341452454451028 ,0.1630252883161324  ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   250 ,        43 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['28-d Cubic compressive strength (MPa)'] ,[]                                    ,"[ 6. 12. 10. 21.  5. 11.  9.  7.  2. 17. 25.  2. 12.  1. 17.  3.  6. 16.  2.  2.  1. 14. 13.  1. 13.]"
                 14.12 ,  10.466403393716487  ,   24.800000000000004 ,                 45.0 ,"0.804657"    ,"0.864872"     ,0.6957994018307773 ,0.8107676086583535 ,0.18534634265217026 ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   250 ,        43 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['28-d Cubic compressive strength (MPa)'] ,[]                                    ,"[22. 35.  9. 45. 11.  2. 26.  9.  5.  5. 16. 11. 19. 16. 23.  2. 19.  6.  3. 12.  7. 14. 13. 22.  1.]"
                  6.36 ,   5.328264257710949  ,   13.200000000000003 ,                 20.0 ,"0.897158"    ,"0.920892"     ,0.6809567305444759 ,0.8506801649799464 ,0.14323653632803388 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   250 ,        43 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['28-d Cubic compressive strength (MPa)'] ,[]                                    ,"[12. 20.  1.  2.  9.  4.  2.  6.  4.  4.  2.  6.  3.  5.  9. 18.  1.  4.  3.  3. 14.  1. 12.  2. 12.]"
                 11.16 ,   8.693353783207032  ,   21.0               ,                 35.0 ,"0.85347"     ,"0.875346"     ,0.5841074403496372 ,0.5596860499629431 ,0.4433622208511549  ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   250 ,        43 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['28-d Cubic compressive strength (MPa)'] ,[]                                    ,"[10.  7.  3. 24. 21.  5. 21. 21.  6.  2.  3. 20. 10.  5. 15. 35.  1. 14. 11. 20.  3.  6. 11.  3.  2.]"
                 15.28 ,   5.9162150062349825 ,   25.0               ,                 26.0 ,"0.90724"     ,"0.929586"     ,0.6873627952432172 ,0.776511188251111  ,0.21297985747088916 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   250 ,        43 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['28-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[16. 16. 19. 16. 25.  5.  5.  6. 18. 14.  9. 13. 14. 11. 25. 16. 25.  8. 18. 19. 17. 26. 12. 14. 15.]"
                 18.72 ,  11.715016005110707  ,   34.20000000000001  ,                 49.0 ,"0.904843"    ,"0.915134"     ,0.6707056462066343 ,0.7155001741866126 ,0.2893026153537718  ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   250 ,        43 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['28-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[18. 22. 44. 16.  8. 10. 25. 16. 15. 25. 26. 15. 12. 27.  9.  4. 49. 18. 15.  7. 37.  7. 10.  3. 30.]"
                  6.64 ,   3.772320240912746  ,   11.0               ,                 16.0 ,"0.937447"    ,"0.959795"     ,0.6552990774276763 ,0.7680906230035889 ,0.22915188893686864 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   250 ,        43 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['28-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[ 3.  4.  8.  1. 11. 16.  3.  3.  5. 11.  5.  9.  3. 12. 11.  4.  4.  3. 10.  8.  2.  7.  5. 10.  8.]"
                 10.48 ,   6.934666538486187  ,   19.6               ,                 29.0 ,"0.92033"     ,"0.940969"     ,0.6170666853682385 ,0.6228801094242133 ,0.37973066125282906 ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   250 ,        43 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['28-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[ 4. 14.  8.  6.  6. 19.  5. 29.  2. 13. 20.  1.  3.  7.  3.  8.  6. 13. 13. 19.  8. 18.  9. 20.  8.]"
