Req. dev. cycle (mean) ,Req. dev. cycle (std) ,Req. dev. cycle (90%) ,Req. dev. cycle (max) ,5 cycle perf. ,10 cycle perf. ,normalized (MAE)    ,normalized (MSE)    ,R^2                ,Batch size ,Algorithm   ,Utlity function         ,σ factor ,qant. (distance utility) ,# SL runs ,Initial sample ,# of samples in the DS ,# Features ,# Targets ,Target threshold ,Features name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Targets name                             ,A-priori information                  ,Req. experiments (list)
                  6.64 ,   2.681492121935099  ,   10.0               ,                 11.0 ,"0.878116"    ,"0.962108"     ,0.4821871054146817  ,0.4027349229672373  ,0.5740310375323484 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   105 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['1-d Cubic compressive strength (MPa)'] ,[]                                    ,"[ 8.  9.  7.  8.  8.  5.  8.  1.  1.  6.  3.  7. 10.  7. 11.  8.  9.  5.  5.  7. 10. 10.  4.  6.  3.]"
                  7.4  ,   4.252058325093859  ,   11.800000000000004 ,                 20.0 ,"0.828693"    ,"0.942967"     ,0.47150208465487664 ,0.3913056543076056  ,0.5882823194049778 ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   105 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['1-d Cubic compressive strength (MPa)'] ,[]                                    ,"[20.  2.  9.  3.  9.  3.  7.  4.  6.  2.  9.  4.  8. 13.  9.  4.  4.  4. 16.  6.  8.  6. 10.  9. 10.]"
                  3.96 ,   3.065681001017555  ,    7.600000000000001 ,                 12.0 ,"0.92417"     ,"0.966667"     ,0.4139973580296559  ,0.34391202883902333 ,0.6501585708981737 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   105 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['1-d Cubic compressive strength (MPa)'] ,[]                                    ,"[ 1. 12.  2.  5.  1.  1.  5.  8.  2.  7.  5.  4.  1.  1.  6.  1. 10.  2.  6.  5.  1.  1.  1.  6.  5.]"
                  4.44 ,   2.9675579185586254 ,    8.200000000000003 ,                 13.0 ,"0.950475"    ,"0.97155"      ,0.3207069473304317  ,0.20480177170491035 ,0.7872929434795146 ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   105 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['1-d Cubic compressive strength (MPa)'] ,[]                                    ,"[ 4.  4.  3. 11. 13.  5.  2.  1.  3.  1.  7.  2.  5.  1.  3.  4.  4.  3.  2.  3.  3.  5.  7.  6.  9.]"
                  7.88 ,   4.67606672321942   ,   13.600000000000001 ,                 15.0 ,"0.899043"    ,"0.944664"     ,0.44132119865222874 ,0.34108995807427145 ,0.6443815815567785 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   105 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['1-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[10. 10.  4.  1.  2.  2.  9. 10. 10. 11. 13. 10.  7.  1. 12.  2.  2. 15.  8.  5. 15.  1. 12. 14. 11.]"
                 15.76 ,   8.561682077722812  ,   27.6               ,                 41.0 ,"0.871487"    ,"0.91935"      ,0.3895560968147738  ,0.32550336232178056 ,0.6570409499960193 ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   105 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['1-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[16. 13.  6. 18. 11. 29. 12.  1. 14. 41.  7. 17. 21. 19. 27. 17.  8. 12. 21.  7. 12.  8. 28. 13. 16.]"
                  5.24 ,   3.7871361211342798 ,    9.0               ,                 18.0 ,"0.961169"    ,"0.97143"      ,0.36455571158729805 ,0.26173828220762657 ,0.7276450065294179 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   105 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['1-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[ 7.  8.  5.  3.  9.  1. 11.  5.  2.  9.  6.  1.  7.  1.  5.  4.  2. 18.  5.  7.  2.  4.  1.  3.  5.]"
                  8.04 ,   4.190274454018495  ,   13.0               ,                 15.0 ,"0.953764"    ,"0.964431"     ,0.3155635821164379  ,0.19016056259901323 ,0.7927563101562357 ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   105 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['1-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[15.  7.  9. 10.  6. 10.  6.  1.  1. 10.  3.  9. 13. 11.  6.  2.  5. 13. 12.  4. 10. 15.  7.  3. 13.]"
