Req. dev. cycle (mean) ,Req. dev. cycle (std) ,Req. dev. cycle (90%) ,Req. dev. cycle (max) ,5 cycle perf. ,10 cycle perf. ,normalized (MAE)   ,normalized (MSE)   ,R^2                  ,Batch size ,Algorithm   ,Utlity function         ,σ factor ,qant. (distance utility) ,# SL runs ,Initial sample ,# of samples in the DS ,# Features ,# Targets ,Target threshold ,Features name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Targets name                             ,A-priori information                  ,Req. experiments (list)
                  8.76 ,   4.545591270670957  ,  15.0                ,                 19.0 ,"0.664458"    ,"0.793567"     ,0.7325211651807132 ,1.1956839341562127 ,-0.24302852408534142 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   126 ,        36 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['7-d Cubic compressive strength (MPa)'] ,[]                                    ,"[ 7. 10. 17.  8.  7.  4.  8. 13.  5.  1.  2.  9.  9.  5.  9.  7. 10. 15.  2. 12. 19.  7. 15.  6. 12.]"
                  9.96 ,   4.5824011173183    ,  15.200000000000003  ,                 23.0 ,"0.562137"    ,"0.751677"     ,0.5813453610606968 ,0.6326887380583273 ,0.34124544944160645  ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   126 ,        36 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['7-d Cubic compressive strength (MPa)'] ,[]                                    ,"[ 5. 10. 16. 11.  6. 13.  6.  6. 14. 11.  5. 12. 10.  9.  8.  9.  9.  9. 13. 12.  1. 18. 23.  6.  7.]"
                  2.68 ,   2.05367962447895   ,   4.600000000000001  ,                  8.0 ,"0.858337"    ,1.0            ,0.645458997898002  ,0.841996922611233  ,0.13124830143076746  ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   126 ,        36 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['7-d Cubic compressive strength (MPa)'] ,[]                                    ,"[2. 4. 1. 2. 1. 4. 8. 1. 2. 5. 4. 4. 4. 1. 1. 1. 1. 1. 4. 1. 1. 1. 3. 8. 2.]"
                  4.4  ,   2.95296461204668   ,   9.200000000000003  ,                 11.0 ,"0.795594"    ,"0.851512"     ,0.5508887412778649 ,0.580130168597816  ,0.4130409604682698   ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   126 ,        36 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['7-d Cubic compressive strength (MPa)'] ,[]                                    ,"[ 8.  6.  1. 11.  2.  4.  1.  5.  1.  1.  5.  7.  3. 10. 10.  6.  1.  3.  4.  4.  4.  5.  5.  2.  1.]"
                  7.12 ,   4.082352263095383  ,  12.600000000000001  ,                 16.0 ,"0.739953"    ,"0.832103"     ,0.7379203873123488 ,0.9986623751790945 ,-0.0440728852571365  ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   126 ,        36 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['7-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[ 6.  4.  5. 10.  8. 12.  8. 10. 13. 14.  6.  3.  3.  5.  5. 16.  6.  1. 10.  5.  5.  1. 11.  1. 10.]"
                 14.2  ,  12.006664815842907  ,  33.6                ,                 39.0 ,"0.730432"    ,"0.794093"     ,0.6735549878818479 ,0.8472668044741719 ,0.15177706755214232  ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                   126 ,        36 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['7-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[ 7. 25.  4.  2. 33.  3. 18.  3.  6.  6. 36. 33.  9. 10. 12.  4. 11.  3. 25. 34.  7.  4. 39. 12.  9.]"
                  4.0  ,   2.756809750418044  ,   8.600000000000001  ,                 10.0 ,"0.854286"    ,"0.912822"     ,0.6103728785688233 ,0.7740579282006708 ,0.23339128182058896  ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   126 ,        36 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['7-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[ 5.  6.  6.  5.  2.  1.  4.  4.  6.  3.  1.  9.  2.  5.  2.  9.  1.  3.  1.  3. 10.  2.  1.  1.  8.]"
                  2.32 ,   1.0087616170334794 ,   3.6000000000000014 ,                  5.0 ,"0.905952"    ,1.0            ,0.517488186339629  ,0.4933705934143072 ,0.5091330057646175   ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                   126 ,        36 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']" ,['7-d Cubic compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[2. 3. 3. 2. 5. 2. 2. 4. 1. 2. 1. 2. 1. 3. 2. 2. 1. 2. 3. 3. 2. 3. 2. 1. 4.]"
