Req. dev. cycle (mean) ,Req. dev. cycle (std) ,Req. dev. cycle (90%) ,Req. dev. cycle (max) ,5 cycle perf. ,10 cycle perf. ,normalized (MAE)   ,normalized (MSE)   ,R^2                  ,Batch size ,Algorithm   ,Utlity function         ,σ factor ,qant. (distance utility) ,# SL runs ,Initial sample ,# of samples in the DS ,# Features ,# Targets ,Target threshold ,Features name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Targets name                                   ,A-priori information                  ,Req. experiments (list)
                 10.6  ,   8.143709228600933  ,                 22.6 ,                 29.0 ,"0.704393"    ,"0.77029"      ,0.7692629380214879 ,1.1385960079501956 ,-0.17536648078076741 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                    90 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']" ,['7-d Cylindrical compressive strength (MPa)'] ,[]                                    ,"[ 1. 11.  9.  1.  1. 22.  9.  1.  9.  5.  3.  7.  8. 13. 10.  2. 12.  5. 20. 29. 12. 20.  6. 26. 23.]"
                 28.92 ,  17.845828644251856  ,                 52.6 ,                 56.0 ,"0.68074"     ,"0.728728"     ,0.6504192203667445 ,0.9041683181805276 ,0.07222588248023572  ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                    90 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']" ,['7-d Cylindrical compressive strength (MPa)'] ,[]                                    ,"[52. 34. 38. 52.  1. 13. 25. 47. 47. 54. 33. 40. 53. 18. 19. 56. 17. 23. 27.  4. 32.  2.  6.  2. 28.]"
                  9.92 ,   8.332682641262656  ,                 22.6 ,                 29.0 ,"0.760998"    ,"0.794164"     ,0.7009597660797047 ,1.0093520851584388 ,0.03388029332542835  ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                    90 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']" ,['7-d Cylindrical compressive strength (MPa)'] ,[]                                    ,"[10.  7.  3. 29.  6. 12.  2. 10. 13.  1.  3. 15.  9. 22. 29.  6.  2.  9. 23. 13. 16.  1.  5.  1.  1.]"
                 22.48 ,  13.22760749342072   ,                 38.2 ,                 44.0 ,"0.738652"    ,"0.747654"     ,0.5892263888754079 ,0.7750688799221175 ,0.25093892048652394  ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                    90 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']" ,['7-d Cylindrical compressive strength (MPa)'] ,[]                                    ,"[ 4. 10. 31. 35. 19. 35. 35. 20. 11.  4. 15. 44. 21. 39. 37. 29.  4. 19. 18.  5. 36.  3. 35. 40. 13.]"
                  1.44 ,   0.9830564581955606 ,                  2.0 ,                  5.0 ,"0.782809"    ,1.0            ,0.8494409115375671 ,1.2024438159739466 ,-0.19268420433491507 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                    90 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']" ,['7-d Cylindrical compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[1. 1. 1. 1. 1. 1. 4. 2. 1. 1. 1. 5. 2. 1. 1. 1. 1. 2. 1. 1. 1. 2. 1. 1. 1.]"
                  1.84 ,   0.9666436778875658 ,                  3.0 ,                  4.0 ,"0.793479"    ,1.0            ,0.9270551145092021 ,1.421184366184261  ,-0.43679087228798125 ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,             4 ,                    90 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']" ,['7-d Cylindrical compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[1. 1. 2. 1. 1. 1. 3. 1. 1. 1. 2. 4. 1. 1. 1. 2. 2. 3. 2. 3. 4. 3. 2. 2. 1.]"
                  1.44 ,   0.5713142742834281 ,                  2.0 ,                  3.0 ,1.0           ,1.0            ,0.7651082003089874 ,1.1067661011300265 ,-0.10763494481142287 ,         1 ,Tuned Gauss ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                    90 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']" ,['7-d Cylindrical compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[2. 1. 2. 2. 2. 1. 1. 1. 1. 1. 3. 1. 1. 2. 2. 1. 2. 1. 1. 1. 1. 1. 2. 1. 2.]"
                  1.32 ,   0.6764613810115105 ,                  2.0 ,                  4.0 ,"0.799164"    ,1.0            ,0.7298701392084246 ,0.9870711471224332 ,0.01803947153678799  ,         1 ,Tuned RF    ,MLI (explore & exploit) ,     2.0 ,                       0 ,       25 ,            20 ,                    90 ,        39 ,        1 ,            0.95 ,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']" ,['7-d Cylindrical compressive strength (MPa)'] ,['Mixture CO2 (Na2SiO3 as solution)'] ,"[1. 1. 2. 1. 2. 1. 2. 1. 1. 2. 1. 1. 1. 1. 4. 1. 1. 1. 1. 1. 1. 1. 1. 2. 1.]"
